time, gyro_x, gyro_y, gyro_z, accel_x, accel_y, accel_z
[0:00:08.900000], 128, 129, 51, 4946, 530, 16263
[0:00:09], 111, 125, 60, 4638, 470, 16346
[0:00:09.100000], 112, 104, 46, 5082, 805, 16368
[0:00:09.200000], 112, 117, 33, 4927, 758, 16234
[0:00:09.300000], 142, 103, 36, 5040, 310, 16243
[0:00:09.400000], 118, 102, 35, 4767, 594, 16504
[0:00:09.500000], 127, 110, 55, 4898, 445, 16469
[0:00:09.600000], 143, 125, 55, 4926, 247, 16366
[0:00:09.700000], 118, 127, 35, 4965, 146, 16473
[0:00:09.800000], 142, 97, 65, 5203, 103, 16528
[0:00:09.900000], 132, 116, 40, 4917, 88, 16439
[0:00:10], 127, 111, 59, 4961, 328, 16504
[0:00:10.100000], 127, 122, 45, 5241, -34, 16458
[0:00:10.200000], 132, 100, 38, 4921, 21, 16240
[0:00:10.300000], 139, 111, 51, 4763, 213, 16310
[0:00:10.400000], 132, 106, 49, 5144, -61, 16398
[0:00:10.500000], 129, 99, 63, 4863, -103, 16274
[0:00:10.600000], 139, 101, 45, 5054, 16, 16278
[0:00:10.700000], 134, 107, 62, 5030, -123, 16307
[0:00:10.800000], 148, 101, 58, 4941, -192, 16508
[0:00:10.900000], 150, 87, 55, 4785, -123, 16462
[0:00:11], 157, 88, 58, 4960, -25, 16340
[0:00:11.100000], 156, 98, 55, 4856, -375, 16286
[0:00:11.200000], 156, 113, 46, 5118, -428, 16255
[0:00:11.300000], 138, 87, 50, 4981, -353, 16447
[0:00:11.400000], 158, 98, 72, 5007, -372, 16257
[0:00:11.500000], 164, 85, 49, 4694, -654, 16380
[0:00:11.600000], 156, 111, 45, 4837, -401, 16237
[0:00:11.700000], 161, 91, 71, 5106, -334, 16429
[0:00:11.800000], 161, 93, 47, 5033, -635, 16369
[0:00:11.900000], 162, 79, 75, 4703, -587, 16338
[0:00:12], 150, 105, 72, 4671, -667, 16296
[0:00:12.100000], 156, 104, 64, 4837, -532, 16406
[0:00:12.200000], 159, 102, 65, 4699, -984, 16282
[0:00:12.300000], 144, 79, 63, 4906, -1057, 16384
[0:00:12.400000], 172, 100, 77, 4767, -1027, 16531
[0:00:12.500000], 149, 92, 78, 4539, -961, 16362
[0:00:12.600000], 156, 101, 59, 4919, -1003, 16320
[0:00:12.700000], 151, 84, 49, 4677, -1035, 16392
[0:00:12.800000], 151, 101, 68, 4864, -1222, 16433
[0:00:12.900000], 165, 71, 72, 4536, -1294, 16504
[0:00:13], 178, 88, 77, 4692, -1099, 16423
[0:00:13.100000], 165, 83, 59, 4598, -1271, 16262
[0:00:13.200000], 154, 90, 52, 4783, -968, 16417
[0:00:13.300000], 169, 78, 67, 4440, -1096, 16513
[0:00:13.400000], 165, 86, 79, 4555, -1507, 16476
[0:00:13.500000], 167, 91, 64, 4742, -1313, 16348
[0:00:13.600000], 166, 66, 69, 4619, -1205, 16408
[0:00:13.700000], 158, 67, 60, 4497, -1605, 16482
[0:00:13.800000], 183, 80, 74, 4541, -1247, 16391
[0:00:13.900000], 171, 76, 60, 4382, -1355, 16505
[0:00:14], 167, 84, 63, 4282, -1304, 16510
[0:00:14.100000], 186, 65, 70, 4236, -1466, 16369
[0:00:14.200000], 164, 74, 63, 4319, -1734, 16502
[0:00:14.300000], 164, 75, 71, 4402, -1477, 16426
[0:00:14.400000], 179, 78, 63, 4247, -1808, 16440
[0:00:14.500000], 168, 73, 71, 4180, -1912, 16493
[0:00:14.600000], 187, 53, 82, 3840, -1826, 16235
[0:00:14.700000], 179, 65, 87, 4254, -1954, 16375
[0:00:14.800000], 191, 55, 61, 3944, -1694, 16238
[0:00:14.900000], 186, 77, 70, 4016, -1742, 16255
[0:00:15], 183, 72, 63, 3724, -1692, 16409
[0:00:15.100000], 173, 56, 90, 3810, -1788, 16446
[0:00:15.200000], 185, 52, 61, 3937, -1728, 16468
[0:00:15.300000], 180, 75, 76, 3531, -1972, 16473
[0:00:15.400000], 188, 63, 66, 3595, -1852, 16352
[0:00:15.500000], 180, 70, 86, 3448, -1905, 16520
[0:00:15.600000], 190, 62, 90, 3506, -1947, 16318
[0:00:15.700000], 180, 69, 62, 3747, -2364, 16487
[0:00:15.800000], 200, 63, 70, 3318, -2079, 16294
[0:00:15.900000], 175, 47, 76, 3533, -1940, 16379
[0:00:16], 182, 44, 84, 3603, -2178, 16432
[0:00:16.100000], 198, 46, 66, 3206, -2175, 16325
[0:00:16.200000], 186, 64, 75, 3453, -2341, 16379
[0:00:16.300000], 181, 42, 90, 3395, -2154, 16246
[0:00:16.400000], 189, 38, 71, 3026, -2309, 16454
[0:00:16.500000], 203, 38, 68, 3194, -2255, 16235
[0:00:16.600000], 200, 50, 94, 3042, -2533, 16437
[0:00:16.700000], 174, 35, 73, 3123, -2573, 16417
[0:00:16.800000], 184, 48, 67, 2705, -2224, 16256
[0:00:16.900000], 178, 44, 82, 2637, -2343, 16235
[0:00:17], 200, 56, 86, 2912, -2558, 16453
[0:00:17.100000], 202, 40, 98, 2943, -2746, 16255
[0:00:17.200000], 181, 32, 87, 2413, -2293, 16288
[0:00:17.300000], 179, 34, 94, 2585, -2620, 16253
[0:00:17.400000], 197, 39, 87, 2774, -2635, 16516
[0:00:17.500000], 208, 35, 93, 2431, -2590, 16520
[0:00:17.600000], 187, 28, 88, 2491, -2810, 16467
[0:00:17.700000], 181, 26, 97, 2261, -2505, 16444
[0:00:17.800000], 190, 46, 88, 2312, -2661, 16460
[0:00:17.900000], 194, 40, 93, 2096, -2914, 16413
[0:00:18], 210, 34, 98, 2124, -2644, 16266
[0:00:18.100000], 199, 34, 84, 2305, -2642, 16332
[0:00:18.200000], 194, 19, 73, 2082, -2896, 16241
[0:00:18.300000], 182, 37, 73, 1755, -2676, 16427
[0:00:18.400000], 185, 23, 77, 1639, -2692, 16331
[0:00:18.500000], 202, 18, 102, 1610, -2861, 16334
[0:00:18.600000], 181, 12, 104, 1815, -2927, 16407
[0:00:18.700000], 197, 23, 76, 1883, -2878, 16508
[0:00:18.800000], 186, 10, 94, 1540, -3079, 16480
[0:00:18.900000], 195, 22, 79, 1286, -3029, 16263
[0:00:19], 191, 31, 77, 1653, -2736, 16268
[0:00:19.100000], 196, 31, 100, 1189, -3080, 16441
[0:00:19.200000], 188, 28, 95, 1217, -2875, 16335
[0:00:19.300000], 183, 27, 76, 1034, -2911, 16299
[0:00:19.400000], 199, 11, 80, 1150, -3044, 16430
[0:00:19.500000], 207, 27, 80, 1146, -2825, 16351
[0:00:19.600000], 186, 11, 89, 917, -2846, 16376
[0:00:19.700000], 206, 19, 91, 702, -3068, 16352
[0:00:19.800000], 199, 26, 91, 1039, -3193, 16277
[0:00:19.900000], 190, 19, 82, 781, -3020, 16454
[0:00:20], 194, 0, 108, 571, -2969, 16248
[0:00:20.100000], 203, 3, 101, 880, -2832, 16455
[0:00:20.200000], 188, -2, 84, 681, -3207, 16529
[0:00:20.300000], 184, 14, 93, 315, -3191, 16533
[0:00:20.400000], 196, 3, 102, 656, -2784, 16517
[0:00:20.500000], 213, 4, 107, 102, -2835, 16496
[0:00:20.600000], 204, -5, 91, 89, -3150, 16394
[0:00:20.700000], 214, -2, 103, 134, -3238, 16376
[0:00:20.800000], 190, 7, 97, 26, -2862, 16311
[0:00:20.900000], 196, -8, 95, 187, -2883, 16243
[0:00:21], 204, 0, 93, -166, -2977, 16493
[0:00:21.100000], 207, -16, 85, -213, -3140, 16529
[0:00:21.200000], 203, -2, 89, -79, -2975, 16252
[0:00:21.300000], 200, -10, 110, -459, -2755, 16488
[0:00:21.400000], 189, -2, 94, -322, -3166, 16236
[0:00:21.500000], 202, 6, 99, -446, -3227, 16329
[0:00:21.600000], 209, -11, 86, -313, -2916, 16499
[0:00:21.700000], 211, -20, 85, -323, -3031, 16262
[0:00:21.800000], 194, 0, 97, -701, -3012, 16298
[0:00:21.900000], 194, 0, 99, -698, -3166, 16277
[0:00:22], 202, -19, 101, -953, -2927, 16529
[0:00:22.100000], 192, 0, 88, -1001, -2706, 16473
[0:00:22.200000], 207, -24, 111, -1021, -2734, 16489
[0:00:22.300000], 207, -18, 116, -791, -2926, 16377
[0:00:22.400000], 189, -28, 88, -1191, -3165, 16486
[0:00:22.500000], 198, -23, 98, -1251, -3089, 16264
[0:00:22.600000], 210, -29, 114, -1289, -3016, 16302
[0:00:22.700000], 184, -19, 117, -1187, -2765, 16354
[0:00:22.800000], 193, -20, 105, -1403, -2678, 16304
[0:00:22.900000], 202, -19, 117, -1469, -2995, 16387
[0:00:23], 199, -28, 103, -1455, -2904, 16332
[0:00:23.100000], 187, -27, 92, -1838, -2904, 16532
[0:00:23.200000], 189, -24, 95, -1485, -2876, 16315
[0:00:23.300000], 191, -25, 110, -1941, -2985, 16392
[0:00:23.400000], 182, -15, 103, -1900, -2971, 16470
[0:00:23.500000], 211, -23, 102, -1753, -2553, 16284
[0:00:23.600000], 195, -17, 90, -1719, -2697, 16451
[0:00:23.700000], 185, -43, 103, -2176, -2920, 16250
[0:00:23.800000], 180, -40, 117, -1907, -2898, 16340
[0:00:23.900000], 182, -23, 90, -1952, -2545, 16288
[0:00:24], 200, -31, 94, -2129, -2828, 16304
[0:00:24.100000], 189, -23, 121, -2144, -2461, 16525
[0:00:24.200000], 191, -44, 115, -2229, -2851, 16487
[0:00:24.300000], 184, -49, 91, -2515, -2793, 16460
[0:00:24.400000], 192, -49, 104, -2699, -2837, 16386
[0:00:24.500000], 190, -28, 122, -2479, -2578, 16278
[0:00:24.600000], 178, -37, 120, -2552, -2452, 16273
[0:00:24.700000], 200, -34, 111, -2862, -2340, 16534
[0:00:24.800000], 203, -42, 98, -2670, -2612, 16509
[0:00:24.900000], 178, -34, 96, -2789, -2517, 16528
[0:00:25], 186, -45, 116, -2715, -2710, 16304
[0:00:25.100000], 184, -43, 93, -3028, -2560, 16356
[0:00:25.200000], 192, -38, 110, -3106, -2564, 16483
[0:00:25.300000], 177, -50, 97, -3001, -2506, 16309
[0:00:25.400000], 183, -44, 123, -3144, -2561, 16491
[0:00:25.500000], 181, -50, 95, -2999, -2373, 16430
[0:00:25.600000], 174, -54, 97, -3368, -2366, 16442
[0:00:25.700000], 195, -43, 99, -3362, -2093, 16236
[0:00:25.800000], 200, -59, 107, -3228, -1992, 16361
[0:00:25.900000], 197, -69, 113, -3617, -2046, 16359
[0:00:26], 170, -57, 115, -3678, -2410, 16377
[0:00:26.100000], 181, -67, 117, -3548, -1922, 16488
[0:00:26.200000], 184, -49, 106, -3611, -2123, 16399
[0:00:26.300000], 193, -68, 113, -3668, -2158, 16352
[0:00:26.400000], 189, -65, 117, -3723, -1982, 16304
[0:00:26.500000], 184, -60, 121, -3664, -1989, 16482
[0:00:26.600000], 167, -55, 102, -3954, -2173, 16257
[0:00:26.700000], 177, -48, 125, -3586, -2141, 16239
[0:00:26.800000], 171, -49, 102, -4020, -1960, 16414
[0:00:26.900000], 182, -57, 123, -3879, -1831, 16240
[0:00:27], 186, -73, 105, -3696, -1778, 16304
[0:00:27.100000], 172, -63, 123, -3818, -1698, 16371
[0:00:27.200000], 182, -54, 126, -3838, -1746, 16524
[0:00:27.300000], 165, -83, 110, -3850, -1580, 16321
[0:00:27.400000], 170, -66, 98, -3982, -1687, 16423
[0:00:27.500000], 186, -69, 127, -4079, -1442, 16487
[0:00:27.600000], 168, -74, 103, -3982, -1668, 16379
[0:00:27.700000], 160, -65, 123, -4306, -1679, 16284
[0:00:27.800000], 180, -58, 106, -4035, -1457, 16500
[0:00:27.900000], 182, -89, 123, -4489, -1567, 16333
[0:00:28], 162, -66, 125, -4154, -1395, 16528
[0:00:28.100000], 176, -84, 119, -4229, -1250, 16425
[0:00:28.200000], 181, -70, 121, -4369, -1370, 16301
[0:00:28.300000], 167, -65, 109, -4370, -1172, 16447
[0:00:28.400000], 166, -74, 113, -4418, -1554, 16458
[0:00:28.500000], 161, -68, 115, -4468, -1401, 16286
[0:00:28.600000], 181, -68, 130, -4339, -1097, 16463
[0:00:28.700000], 153, -86, 128, -4545, -1314, 16316
[0:00:28.800000], 169, -97, 126, -4571, -1133, 16350
[0:00:28.900000], 169, -83, 115, -4856, -885, 16387
[0:00:29], 150, -90, 125, -4688, -1271, 16361
[0:00:29.100000], 158, -72, 116, -4852, -1123, 16492
[0:00:29.200000], 155, -94, 105, -4915, -828, 16461
[0:00:29.300000], 154, -88, 127, -4675, -890, 16521
[0:00:29.400000], 155, -92, 104, -4911, -935, 16417
[0:00:29.500000], 174, -91, 124, -4928, -812, 16359
[0:00:29.600000], 148, -93, 123, -4994, -600, 16256
[0:00:29.700000], 156, -95, 108, -4831, -833, 16522
[0:00:29.800000], 153, -81, 120, -4822, -841, 16457
[0:00:29.900000], 156, -89, 126, -5109, -435, 16413
[0:00:30], 140, -82, 117, -4641, -727, 16501
[0:00:30.100000], 139, -104, 131, -5149, -702, 16343
[0:00:30.200000], 147, -86, 118, -5016, -540, 16250
[0:00:30.300000], 155, -106, 115, -4829, -708, 16520
[0:00:30.400000], 136, -110, 107, -5131, -704, 16341
[0:00:30.500000], 160, -95, 129, -4796, -409, 16311
[0:00:30.600000], 139, -109, 117, -5113, -154, 16326
[0:00:30.700000], 150, -104, 130, -5137, -111, 16414
[0:00:30.800000], 138, -107, 124, -4985, -188, 16335
[0:00:30.900000], 142, -100, 122, -4766, -194, 16470
[0:00:31], 145, -114, 116, -5091, -20, 16290
[0:00:31.100000], 152, -101, 128, -5057, -101, 16334
[0:00:31.200000], 137, -106, 113, -5104, -59, 16493
[0:00:31.300000], 138, -96, 129, -5082, -74, 16344
[0:00:31.400000], 154, -108, 108, -5107, -21, 16473
[0:00:31.500000], 126, -113, 106, -5145, 277, 16448
[0:00:31.600000], 146, -103, 132, -4750, -8, 16316
[0:00:31.700000], 149, -98, 117, -4772, 202, 16381
[0:00:31.800000], 123, -119, 117, -5188, -24, 16399
[0:00:31.900000], 132, -103, 128, -5170, 239, 16452
[0:00:32], 137, -95, 114, -4867, 89, 16348
[0:00:32.100000], 125, -119, 104, -4736, 176, 16517
[0:00:32.200000], 121, -101, 111, -5039, 409, 16339
[0:00:32.300000], 118, -103, 105, -4748, 336, 16337
[0:00:32.400000], 133, -126, 125, -4821, 470, 16300
[0:00:32.500000], 142, -120, 126, -4723, 240, 16281
[0:00:32.600000], 116, -121, 112, -4872, 432, 16299
[0:00:32.700000], 132, -113, 110, -5086, 363, 16300
[0:00:32.800000], 126, -117, 118, -5066, 455, 16469
[0:00:32.900000], 110, -125, 109, -5108, 687, 16515
[0:00:33], 118, -128, 110, -4837, 740, 16305
[0:00:33.100000], 132, -126, 128, -4776, 626, 16434
[0:00:33.200000], 130, -113, 128, -4693, 734, 16389
[0:00:33.300000], 109, -106, 120, -4691, 861, 16377
[0:00:33.400000], 119, -126, 109, -4568, 841, 16269
[0:00:33.500000], 116, -130, 128, -4712, 1129, 16234
[0:00:33.600000], 120, -111, 130, -4818, 1020, 16437
[0:00:33.700000], 120, -109, 112, -4847, 1115, 16282
[0:00:33.800000], 120, -113, 111, -4829, 902, 16367
[0:00:33.900000], 120, -110, 106, -4413, 899, 16516
[0:00:34], 114, -117, 109, -4647, 1213, 16381
[0:00:34.100000], 104, -116, 115, -4674, 1266, 16497
[0:00:34.200000], 116, -115, 126, -4692, 999, 16365
[0:00:34.300000], 102, -125, 116, -4573, 1325, 16407
[0:00:34.400000], 101, -116, 129, -4476, 1188, 16239
[0:00:34.500000], 98, -134, 107, -4560, 1105, 16447
[0:00:34.600000], 101, -118, 130, -4452, 1437, 16396
[0:00:34.700000], 110, -114, 106, -4341, 1533, 16341
[0:00:34.800000], 112, -131, 124, -4195, 1568, 16488
[0:00:34.900000], 96, -121, 108, -4452, 1403, 16364
[0:00:35], 88, -118, 125, -4242, 1591, 16414
[0:00:35.100000], 98, -141, 107, -4353, 1440, 16441
[0:00:35.200000], 89, -140, 106, -4033, 1477, 16255
[0:00:35.300000], 95, -144, 121, -3940, 1435, 16256
[0:00:35.400000], 107, -132, 127, -4006, 1708, 16454
[0:00:35.500000], 103, -121, 131, -4129, 1629, 16497
[0:00:35.600000], 79, -120, 132, -4225, 1766, 16283
[0:00:35.700000], 78, -131, 110, -3773, 1949, 16350
[0:00:35.800000], 100, -128, 111, -3968, 1662, 16249
[0:00:35.900000], 72, -146, 115, -4126, 1669, 16275
[0:00:36], 72, -122, 124, -3882, 1744, 16329
[0:00:36.100000], 90, -141, 130, -3721, 1725, 16526
[0:00:36.200000], 92, -149, 123, -3969, 1866, 16341
[0:00:36.300000], 84, -135, 124, -3945, 2064, 16239
[0:00:36.400000], 74, -142, 119, -3881, 2242, 16245
[0:00:36.500000], 91, -151, 125, -3619, 2179, 16281
[0:00:36.600000], 87, -132, 115, -3619, 2142, 16255
[0:00:36.700000], 63, -148, 131, -3703, 2315, 16476
[0:00:36.800000], 78, -148, 108, -3589, 2309, 16322
[0:00:36.900000], 66, -140, 130, -3621, 2189, 16414
[0:00:37], 58, -155, 117, -3133, 2218, 16412
[0:00:37.100000], 56, -127, 122, -3063, 2487, 16446
[0:00:37.200000], 75, -147, 131, -3000, 2222, 16445
[0:00:37.300000], 62, -134, 125, -3054, 2325, 16521
[0:00:37.400000], 62, -135, 113, -2942, 2449, 16451
[0:00:37.500000], 71, -151, 134, -3145, 2365, 16300
[0:00:37.600000], 63, -145, 129, -2878, 2410, 16499
[0:00:37.700000], 51, -144, 115, -3020, 2460, 16297
[0:00:37.800000], 66, -130, 129, -2700, 2439, 16359
[0:00:37.900000], 59, -155, 119, -2821, 2422, 16289
[0:00:38], 56, -139, 103, -2690, 2488, 16413
[0:00:38.100000], 67, -156, 123, -2918, 2549, 16470
[0:00:38.200000], 41, -138, 109, -2444, 2788, 16384
[0:00:38.300000], 63, -148, 119, -2379, 2712, 16401
[0:00:38.400000], 45, -140, 106, -2415, 2681, 16465
[0:00:38.500000], 61, -144, 126, -2567, 2867, 16369
[0:00:38.600000], 58, -153, 125, -2285, 2498, 16370
[0:00:38.700000], 55, -140, 105, -2265, 2901, 16475
[0:00:38.800000], 33, -156, 133, -2097, 2851, 16494
[0:00:38.900000], 50, -134, 132, -2073, 2621, 16452
[0:00:39], 50, -159, 120, -2314, 2967, 16328
[0:00:39.100000], 26, -133, 103, -2075, 2514, 16428
[0:00:39.200000], 52, -158, 112, -1876, 2584, 16504
[0:00:39.300000], 45, -155, 113, -1864, 2898, 16474
[0:00:39.400000], 36, -156, 111, -1849, 2582, 16397
[0:00:39.500000], 48, -157, 124, -1644, 2618, 16393
[0:00:39.600000], 20, -149, 130, -1568, 2864, 16486
[0:00:39.700000], 47, -134, 121, -1614, 2757, 16401
[0:00:39.800000], 36, -153, 107, -1546, 2902, 16502
[0:00:39.900000], 27, -156, 101, -1337, 3108, 16430
[0:00:40], 20, -162, 103, -1372, 2828, 16514
[0:00:40.100000], 18, -157, 108, -1223, 2820, 16451
[0:00:40.200000], 14, -152, 125, -1173, 3091, 16326
[0:00:40.300000], 22, -158, 115, -981, 2791, 16319
[0:00:40.400000], 34, -155, 125, -1091, 2844, 16498
[0:00:40.500000], 18, -149, 116, -1201, 2737, 16487
[0:00:40.600000], 23, -153, 105, -1049, 2852, 16417
[0:00:40.700000], 21, -149, 123, -887, 3137, 16288
[0:00:40.800000], 26, -150, 116, -597, 3022, 16487
[0:00:40.900000], 14, -150, 116, -859, 2965, 16367
[0:00:41], 26, -149, 105, -861, 2768, 16461
[0:00:41.100000], 10, -161, 113, -810, 2809, 16254
[0:00:41.200000], 5, -163, 124, -358, 3219, 16440
[0:00:41.300000], 5, -160, 104, -589, 2902, 16349
[0:00:41.400000], 3, -158, 107, -135, 2805, 16256
[0:00:41.500000], -8, -139, 106, -99, 2746, 16528
[0:00:41.600000], 18, -158, 103, -325, 3235, 16394
[0:00:41.700000], -5, -152, 120, -75, 2794, 16406
[0:00:41.800000], -11, -149, 112, -184, 3041, 16264
[0:00:41.900000], -3, -147, 126, 250, 2939, 16400
[0:00:42], 12, -147, 120, -165, 3116, 16286
[0:00:42.100000], -6, -143, 99, 206, 3110, 16417
[0:00:42.200000], 4, -135, 125, 132, 2940, 16395
[0:00:42.300000], -9, -154, 104, 364, 3011, 16291
[0:00:42.400000], 7, -145, 115, 337, 3200, 16291
[0:00:42.500000], 1, -142, 112, 450, 2743, 16260
[0:00:42.600000], -14, -152, 115, 388, 3206, 16256
[0:00:42.700000], 2, -161, 102, 714, 3010, 16339
[0:00:42.800000], -10, -146, 109, 901, 3138, 16522
[0:00:42.900000], -15, -150, 125, 858, 2840, 16470
[0:00:43], -9, -134, 101, 711, 2892, 16404
[0:00:43.100000], -23, -152, 119, 817, 3087, 16242
[0:00:43.200000], -20, -135, 114, 1050, 3140, 16354
[0:00:43.300000], -18, -135, 116, 851, 3157, 16379
[0:00:43.400000], -29, -156, 110, 1129, 2907, 16248
[0:00:43.500000], -17, -162, 98, 1031, 2855, 16377
[0:00:43.600000], -11, -138, 120, 1446, 3033, 16309
[0:00:43.700000], -28, -159, 113, 1167, 2650, 16408
[0:00:43.800000], -38, -138, 105, 1340, 3037, 16287
[0:00:43.900000], -17, -139, 96, 1689, 2847, 16427
[0:00:44], -43, -140, 118, 1369, 2771, 16386
[0:00:44.100000], -20, -139, 114, 1585, 2867, 16406
[0:00:44.200000], -30, -132, 96, 1658, 2647, 16278
[0:00:44.300000], -27, -159, 111, 1723, 2843, 16355
[0:00:44.400000], -22, -151, 121, 1782, 2782, 16438
[0:00:44.500000], -38, -149, 108, 2141, 2585, 16508
[0:00:44.600000], -28, -135, 117, 2069, 2812, 16253
[0:00:44.700000], -52, -147, 121, 2063, 2515, 16362
[0:00:44.800000], -29, -142, 113, 1865, 2776, 16495
[0:00:44.900000], -55, -132, 110, 2006, 2937, 16337
[0:00:45], -40, -146, 95, 2140, 2865, 16256
[0:00:45.100000], -43, -145, 115, 2510, 2538, 16371
[0:00:45.200000], -37, -140, 94, 2353, 2474, 16432
[0:00:45.300000], -55, -158, 99, 2665, 2395, 16491
[0:00:45.400000], -40, -133, 94, 2409, 2413, 16318
[0:00:45.500000], -42, -141, 99, 2718, 2650, 16487
[0:00:45.600000], -45, -132, 113, 2669, 2296, 16518
[0:00:45.700000], -52, -134, 96, 2521, 2436, 16345
